Team_name,Team_BPI,Team_DEF_I,Team_OFF_I
1207,14.1,11.7,2.4
1274,14.0,9.3,4.7
1277,13.9,10.0,3.9
1278,13.5,7.2,6.3
1166,13.4,4.5,8.9
1281,12.4,2.2,10.2
1388,12.1,3.5,8.6
,,,
1246,12.0,4.2,7.8
1455,11.8,7.5,4.4
1266,11.5,5.3,6.1
1279,11.5,1.2,10.3
1153,11.4,8.5,2.9
1235,11.3,-1.3,12.6
1124,11.3,2.3,9.0
1301,11.3,-0.4,11.6
1243,11.1,7.4,3.8
1314,11.1,1.1,10.0
1329,11.0,5.6,5.4
1424,10.8,5.2,5.6
1361,10.8,6.0,4.8
1387,10.7,8.8,1.9
1323,10.7,4.6,6.1
1125,10.5,3.5,7.1
1272,10.4,3.5,6.9
1143,10.4,4.9,5.5
1438,10.1,11.8,-1.7
1307,10.0,6.0,3.9
1234,9.9,4.5,5.4
1328,9.7,3.3,6.4
1172,9.7,3.3,6.4
1139,9.0,4.6,4.4
1332,8.8,2.4,6.4
1163,8.8,3.1,5.7
1129,8.6,1.9,6.7
1161,8.6,1.8,6.7
1247,8.4,2.3,6.2
1326,20.3,9.5,10.8
1246,20.1,8.2,11.9
1393,18.3,8.4,9.9
1277,17.6,9.9,7.7
1314,17.1,3.4,13.7
1458,16.2,15.9,0.3
1242,16.1,7.8,8.2
1281,15.9,1.9,14.0
1196,15.3,3.5,11.8
1231,15.2,3.2,12.1
1181,14.8,2.6,12.2
1272,14.6,5.1,9.5
1455,14.1,5.3,8.9
1266,13.7,3.2,10.5
1207,13.5,9.7,3.8
1307,13.5,7.1,6.4
1124,12.7,3.8,8.9
1435,12.6,4.4,8.2
1257,12.2,8.9,3.4
1387,12.0,10.4,1.6
1199,11.9,7.4,4.5
1345,11.6,4.1,7.5
1125,11.5,0.9,10.6
1104,11.2,11.5,-0.3
1211,11.2,4.4,6.8
1243,11.0,5.2,5.8
1438,11.0,14.0,-3.1
1388,10.9,4.5,6.4
1276,10.7,8.1,2.6
1400,10.3,4.0,6.3
1143,10.1,5.3,4.8
1424,10.1,1.2,8.9
1166,10.0,-1.3,11.3
1153,10.0,6.8,3.2
1452,9.9,2.6,7.3
1396,9.8,1.5,8.3
1235,9.7,2.6,7.2
1233,9.6,-3.5,13.1
1163,9.5,5.2,4.3
1140,8.9,1.0,7.9
1301,8.8,1.5,7.3
1253,8.8,3.4,5.4
1338,8.3,3.6,4.7
1274,8.2,3.2,5.0
1433,8.2,5.5,2.7
1180,8.1,9.4,-1.3
1217,8.1,8.7,-0.6
1172,8.1,-0.2,8.2
1462,8.0,2.8,5.2
1278,7.9,3.9,4.1
1326,21.8,10.4,11.4
1242,19.8,6.5,13.3
1181,19.0,5.3,13.7
1338,18.2,9.4,8.8
1246,16.5,7.8,8.7
1345,16.2,9.1,7.1
1400,16.1,8.1,8.0
1458,16.0,12.2,3.7
1361,15.6,9.0,6.6
1314,15.4,4.2,11.2
1196,15.1,6.5,8.6
1393,14.6,7.3,7.2
1140,14.0,0.8,13.2
1323,14.0,4.2,9.8
1257,13.9,5.9,8.0
1125,13.5,4.4,9.1
1449,13.5,-0.2,13.7
1452,12.9,8.4,4.5
1112,12.7,3.0,9.7
1435,12.7,3.5,9.1
1228,12.5,6.1,6.4
1437,12.4,5.2,7.1
1424,12.2,6.4,5.9
1268,11.9,3.6,8.2
1163,11.8,5.0,6.8
1207,11.7,5.9,5.8
1281,11.6,0.4,11.1
1429,11.4,8.5,2.9
1206,11.1,5.6,5.5
1266,11.1,3.0,8.1
1153,10.9,8.8,2.1
1243,10.8,5.1,5.8
1396,10.7,6.6,4.1
1155,10.7,8.4,2.3
1199,10.5,8.3,2.3
1462,10.5,5.3,5.2
1455,10.4,4.9,5.5
1388,10.3,2.3,8.0
1211,10.3,2.4,7.9
1350,10.2,7.4,2.8
1139,10.2,5.2,5.0
1439,10.0,6.4,3.5
1401,9.8,8.7,1.1
1277,9.7,5.0,4.6
1104,9.6,9.8,-0.1
1330,9.5,10.0,-0.5
1208,9.4,5.8,3.5
1182,9.2,0.9,8.3
1276,9.1,7.7,1.4
1397,9.0,4.7,4.4
1181,22.5,9.6,12.8
1242,21.2,7.8,13.4
1393,18.8,5.5,13.4
1246,17.2,5.5,11.7
1452,16.5,8.7,7.8
1326,16.5,8.0,8.5
1458,15.9,13.6,2.3
1124,15.4,6.0,9.5
1268,15.2,3.3,11.9
1437,15.0,0.6,14.5
1345,14.9,9.3,5.6
1243,14.5,3.3,11.3
1207,14.5,6.2,8.3
1140,14.4,1.8,12.6
1400,14.2,1.9,12.3
1397,13.8,6.7,7.1
1281,13.7,4.6,9.1
1462,13.4,1.6,11.9
1155,13.4,6.3,7.2
1199,13.1,10.4,2.7
1278,12.8,6.2,6.6
1429,12.8,8.7,4.1
1435,12.7,3.4,9.2
1266,12.6,6.2,6.4
1139,12.5,9.4,3.1
1338,12.5,9.5,3.0
1257,12.4,3.3,9.1
1277,12.2,5.9,6.3
1396,12.0,13.1,-1.1
1210,11.9,5.9,6.0
1143,11.7,0.5,11.3
1449,11.4,0.5,10.8
1330,11.3,11.0,0.3
1401,11.2,6.8,4.4
1280,11.1,5.2,5.8
1293,10.9,6.3,4.6
1279,10.9,1.2,9.7
1196,10.8,4.9,5.9
1424,10.8,4.9,5.9
1173,10.6,8.1,2.5
1165,10.5,3.6,6.9
1431,10.5,4.2,6.3
1320,10.3,12.9,-2.7
1163,10.1,5.7,4.4
1439,10.0,5.4,4.6
1272,9.9,4.0,6.0
1350,9.7,7.7,2.1
1307,9.7,2.4,7.3
1329,9.6,3.5,6.1
1373,9.6,2.1,7.5
1314,21.5,1.2,20.3
1163,18.6,6.4,12.3
1272,18.5,10.3,8.1
1181,18.4,7.0,11.3
1338,18.1,7.0,11.0
1257,17.4,9.6,7.8
1452,16.6,10.0,6.5
1437,15.9,5.3,10.5
