"Team_name","Team_PTS","Team_FGM","Team_FGA","Team_ThreePM","Team_ThreePA","Team_FTM","Team_FTA","Team_OR","Team_DR","Team_REB","Team_AST","Team_STL","Team_BLK","Team_TO","Team_PF","Team_FG_percent","Team_ThreeP_percent","Team_FT_percent"
"James Madison Dukes","78.1","27.2","60.1","8.3","24.3","15.5","23.2","11.0","26.4","37.4","13.8","7.5","2.1","12.2","18.8","45.2","34.2","66.8"
"Florida Atlantic Owls","78.1","28.3","61.3","9.7","25.5","11.7","17.7","12.5","27.9","40.4","14.6","7.6","2.7","13.8","18.0","46.3","38.0","66.1"
"St. Francis Brooklyn Terriers","77.7","28.5","63.9","6.2","18.7","14.4","19.6","11.4","24.8","36.2","14.3","8.1","3.5","12.1","20.3","44.6","33.1","73.5"
"Lafayette Leopards","77.7","27.0","61.9","8.6","23.9","15.1","18.7","8.9","26.1","35.0","16.2","6.3","3.4","10.9","18.7","43.6","36.0","80.4"
"Bowling Green Falcons","77.5","27.8","66.6","8.2","25.7","13.6","18.5","12.6","25.8","38.5","12.6","7.1","2.2","9.8","17.0","41.8","31.9","73.6"
"Georgia Bulldogs","77.5","28.2","61.7","6.3","19.6","14.7","21.3","12.2","25.0","37.2","15.0","8.5","2.5","16.7","18.6","45.8","32.4","68.9"
"West Virginia Mountaineers","77.3","26.5","61.8","7.4","20.4","16.9","23.4","13.6","24.2","37.8","14.0","7.6","2.8","12.0","16.3","42.9","36.4","71.9"
"Auburn Tigers","77.2","26.3","60.3","9.1","27.8","15.4","21.8","12.9","26.4","39.4","14.8","6.2","6.0","16.2","17.9","43.7","32.6","70.8"
"Ohio State Buckeyes","77.2","26.4","57.6","8.1","22.6","16.2","21.4","9.8","26.8","36.6","13.1","4.5","3.5","10.6","18.5","45.9","36.0","75.6"
"Florida State Seminoles","77.2","27.7","58.4","7.7","20.4","14.0","19.0","11.1","25.6","36.7","14.5","7.3","5.1","14.4","18.4","47.4","37.6","74.1"
"Cal State Fullerton Titans","77.0","26.9","59.4","8.2","21.3","15.1","20.4","8.8","24.1","32.9","13.6","6.7","2.0","12.8","16.9","45.2","38.4","73.9"
"Pepperdine Waves","76.9","27.6","59.5","6.9","21.2","14.9","18.9","8.2","26.9","35.1","16.3","6.5","3.2","13.1","19.0","46.3","32.6","78.5"
"Samford Bulldogs","76.8","28.5","64.1","7.9","25.5","11.9","17.4","11.7","28.1","39.7","14.9","6.8","2.5","16.3","20.9","44.4","31.2","68.6"
"Gonzaga Bulldogs","87.4","31.8","61.7","7.5","19.3","16.5","23.9","11.4","28.8","40.1","16.7","7.4","3.8","11.2","14.7","51.5","38.6","68.8"
"Duke Blue Devils","82.5","29.7","63.1","7.0","19.9","16.2","22.5","12.7","27.4","40.1","15.5","8.3","6.1","13.2","18.0","47.0","35.2","72.0"
"Alabama Crimson Tide","82.0","27.5","63.1","10.8","30.9","16.1","23.3","11.7","27.6","39.4","14.2","6.3","4.4","14.9","20.1","43.7","34.9","69.3"
"Green Bay Phoenix","81.6","29.3","63.9","7.6","20.7","15.3","20.3","9.8","26.5","36.4","16.2","6.9","3.1","12.5","19.2","45.9","36.9","75.6"
"Winthrop Eagles","81.3","28.8","62.4","9.5","27.4","14.2","22.4","13.2","27.6","40.8","15.9","6.6","2.5","13.9","20.1","46.2","34.6","63.6"
"Eastern Washington Eagles","80.9","29.5","64.1","9.3","26.6","12.7","18.4","10.6","27.7","38.3","17.5","7.1","3.6","12.8","18.6","46.0","34.9","69.4"
"Wright State Raiders","80.9","28.8","63.0","7.8","21.5","15.5","22.9","12.3","27.7","40.0","14.1","6.6","3.6","12.5","16.1","45.7","36.4","67.7"
"Stephen F. Austin Lumberjacks","80.6","28.6","58.3","5.8","15.9","17.6","25.5","13.1","24.3","37.4","15.0","10.5","3.3","17.7","20.9","49.1","36.2","69.1"
"LSU Tigers","80.5","28.6","60.6","6.8","20.8","16.5","21.5","12.1","27.6","39.7","12.8","6.3","3.9","12.6","16.0","47.1","32.7","76.9"
"Oral Roberts Golden Eagles","80.2","29.0","64.6","8.2","24.5","14.1","18.8","11.7","26.2","38.0","13.2","6.4","2.5","10.4","16.8","44.8","33.4","74.9"
"Houston Christian Huskies","80.1","27.5","62.1","7.4","20.5","17.6","23.6","12.2","23.9","36.1","12.8","5.7","2.2","16.8","20.3","44.3","36.4","74.7"
"Dayton Flyers","80.0","29.2","55.6","8.0","21.7","13.6","18.9","7.8","27.2","35.0","17.6","5.7","3.5","12.4","17.1","52.5","37.1","72.0"
"BYU Cougars","79.6","29.7","59.3","10.4","24.5","9.9","14.2","6.5","26.6","33.2","17.4","5.8","2.1","11.0","16.1","50.0","42.3","70.0"
"Belmont Bruins","79.6","29.9","62.8","9.7","27.5","10.2","14.2","8.8","28.5","37.3","18.3","7.5","3.2","11.9","15.1","47.5","35.2","71.3"
"South Dakota Coyotes","79.6","27.8","56.4","7.3","18.6","16.8","22.2","6.3","26.4","32.7","13.9","4.6","2.7","10.6","17.6","49.2","39.1","75.5"
"California Baptist Lancers","79.5","26.6","60.3","9.9","26.0","16.4","20.8","11.6","29.4","41.0","14.4","4.2","3.5","12.8","18.4","44.2","38.0","78.6"
"McNeese Cowboys","79.4","28.5","57.3","8.4","21.1","14.0","19.4","10.0","26.0","36.0","16.3","6.6","3.9","15.9","16.7","49.7","39.9","72.4"
"Western Carolina Catamounts","78.8","27.0","57.7","9.7","26.4","15.1","21.3","9.7","27.8","37.6","14.6","5.3","1.8","14.4","17.2","46.8","36.9","71.0"
"Portland State Vikings","78.7","29.0","64.7","6.5","19.6","14.3","19.8","14.1","22.5","36.6","13.5","8.7","4.1","12.8","18.3","44.8","33.2","71.9"
"Buffalo Bulls","78.6","29.0","66.8","8.2","25.3","12.5","18.7","14.5","27.5","42.0","14.8","7.8","4.6","13.7","18.8","43.3","32.3","67.1"
"Creighton Bluejays","78.3","27.9","59.3","9.7","25.3","12.7","17.2","7.9","26.9","34.8","15.8","6.5","2.5","10.9","15.2","47.1","38.6","73.9"
"Central Michigan Chippewas","78.3","27.4","63.7","7.7","23.8","15.8","21.3","10.9","25.1","36.0","11.6","9.1","2.5","12.7","16.3","43.0","32.4","74.6"
"North Florida Ospreys","78.3","26.9","59.8","11.8","31.2","12.5","16.5","9.9","24.6","34.5","15.7","5.0","3.8","11.8","16.1","45.0","37.9","76.2"
"Georgia State Panthers","78.1","27.5","62.7","8.7","24.0","14.5","19.6","11.7","25.2","36.8","14.6","7.8","4.2","14.1","21.4","43.8","36.2","74.0"
"Auburn Tigers","78.0","26.1","60.3","8.1","26.6","17.8","26.4","13.6","27.3","40.8","12.8","6.4","4.9","12.9","19.3","43.3","30.6","67.4"
"Coastal Carolina Chanticleers","78.0","27.7","61.5","7.3","21.8","15.2","21.2","13.4","26.9","40.3","13.5","7.5","2.8","15.7","22.1","45.1","33.7","71.6"
