"Team_name","Team_BPI","Team_DEF_I","Team_OFF_I"
"Arizona Wildcats","19.6","8.9","10.7"
"Villanova Wildcats","19.3","8.5","10.8"
"North Carolina Tar Heels","17.8","2.9","14.9"
"Gonzaga Bulldogs","16.4","4.9","11.5"
"Ohio State Buckeyes","16.3","6.6","9.7"
"Utah Utes","16.2","11.3","5.0"
"Notre Dame Fighting Irish","15.8","2.8","13.0"
"Louisville Cardinals","14.8","9.8","5.1"
"Kansas Jayhawks","14.4","5.5","8.9"
"Oklahoma Sooners","13.9","6.6","7.4"
"Iowa State Cyclones","13.8","1.1","12.7"
"Michigan State Spartans","13.7","6.2","7.6"
"Wichita State Shockers","13.7","8.6","5.1"
"Baylor Bears","13.6","8.8","4.8"
"Butler Bulldogs","12.8","9.3","3.5"
"Texas Longhorns","12.5","8.5","4.0"
"Iowa Hawkeyes","12.1","6.5","5.6"
"VCU Rams","12.0","3.7","8.3"
"Northern Iowa Panthers","11.8","10.9","0.9"
"West Virginia Mountaineers","11.5","3.5","8.0"
"Syracuse Orange","10.7","6.4","4.3"
"Maryland Terrapins","10.5","6.4","4.1"
"NC State Wolfpack","10.4","4.0","6.4"
"Providence Friars","10.4","4.6","5.8"
"Georgetown Hoyas","10.4","4.3","6.0"
"Davidson Wildcats","10.3","-0.9","11.2"
"BYU Cougars","10.2","-4.4","14.6"
"Florida Gators","10.2","9.8","0.4"
"Arkansas Razorbacks","10.0","-0.4","10.4"
"Purdue Boilermakers","9.9","5.3","4.6"
"SMU Mustangs","9.8","6.5","3.3"
"Illinois Fighting Illini","9.7","4.9","4.8"
"Indiana Hoosiers","9.7","-1.9","11.5"
"Miami Hurricanes","9.7","5.3","4.4"
"Oklahoma State Cowboys","9.5","6.0","3.6"
"Xavier Musketeers","9.5","1.1","8.4"
"Dayton Flyers","9.4","6.7","2.7"
"St. John's Red Storm","9.2","2.9","6.3"
"Richmond Spiders","8.9","6.9","2.0"
"Stephen F. Austin Lumberjacks","8.8","1.9","6.9"
"Cincinnati Bearcats","8.7","11.0","-2.3"
"Georgia Bulldogs","8.6","4.8","3.9"
"Minnesota Golden Gophers","8.5","0.8","7.7"
"Ole Miss Rebels","8.3","0.9","7.3"
"Old Dominion Monarchs","8.2","9.6","-1.5"
"Rhode Island Rams","8.1","6.6","1.5"
"Louisville Cardinals","20.1","9.4","10.7"
"Florida Gators","19.2","14.0","5.2"
"Duke Blue Devils","18.8","5.2","13.6"
"Arizona Wildcats","17.7","11.8","5.9"
"Virginia Cavaliers","16.4","16.1","0.2"
"Villanova Wildcats","16.2","7.5","8.7"
"Kansas Jayhawks","15.8","4.8","11.0"
"Wisconsin Badgers","15.8","8.0","7.8"
"Michigan Wolverines","15.7","7.0","8.7"
"Pittsburgh Panthers","15.4","8.3","7.1"
"Michigan State Spartans","15.4","6.9","8.5"
"Kentucky Wildcats","14.9","6.0","8.9"
"Creighton Bluejays","14.8","3.3","11.4"
"Wichita State Shockers","14.6","9.2","5.4"
"Tennessee Volunteers","14.5","9.4","5.1"
"Syracuse Orange","14.3","12.6","1.7"
"Oklahoma State Cowboys","14.1","3.8","10.3"
"Iowa Hawkeyes","14.1","1.7","12.4"
